,subregion_cited,year,is_oa,count_doi,subregion_citing,subregion_citing_count
0,Micronesia,2017,True,1,South-eastern Asia,1
1,Micronesia,2017,True,1,Western Europe,1
2,Micronesia,2017,True,1,Northern Europe,1
3,Micronesia,2017,True,1,Northern America,6
4,Micronesia,2017,True,1,Eastern Asia,7
5,Melanesia,2013,False,128,South-eastern Asia,155
6,Melanesia,2013,False,128,Western Asia,69
7,Melanesia,2013,False,128,Australia and New Zealand,478
8,Melanesia,2013,False,128,Eastern Asia,377
9,Melanesia,2013,False,128,Northern Europe,237
10,Melanesia,2013,False,128,Southern Europe,136
11,Melanesia,2013,False,128,Northern America,507
12,Melanesia,2013,False,128,Melanesia,250
13,Melanesia,2013,False,128,Southern Asia,235
14,Melanesia,2013,False,128,Latin America and the Caribbean,104
15,Melanesia,2013,False,128,Western Europe,201
16,Melanesia,2013,False,128,Sub-Saharan Africa,113
17,Melanesia,2013,False,128,Polynesia,4
18,Melanesia,2013,False,128,Eastern Europe,29
19,Melanesia,2013,False,128,Northern Africa,24
20,Northern Africa,2010,False,5112,Northern America,15094
21,Northern Africa,2010,False,5112,Australia and New Zealand,2742
22,Northern Africa,2010,False,5112,Northern Africa,18551
23,Northern Africa,2010,False,5112,Eastern Asia,19961
24,Northern Africa,2010,False,5112,Southern Asia,15513
25,Northern Africa,2010,False,5112,Northern Europe,6393
26,Northern Africa,2010,False,5112,Sub-Saharan Africa,2291
27,Northern Africa,2010,False,5112,Eastern Europe,3498
28,Northern Africa,2010,False,5112,Western Asia,11250
29,Northern Africa,2010,False,5112,Southern Europe,7381
30,Northern Africa,2010,False,5112,Western Europe,8156
31,Northern Africa,2010,False,5112,South-eastern Asia,3609
32,Northern Africa,2010,False,5112,Latin America and the Caribbean,4251
33,Northern Africa,2010,False,5112,Central Asia,51
34,Northern Africa,2010,False,5112,Melanesia,22
35,Melanesia,2014,False,150,Southern Europe,193
36,Melanesia,2014,False,150,Melanesia,285
37,Melanesia,2014,False,150,Latin America and the Caribbean,128
38,Melanesia,2014,False,150,Sub-Saharan Africa,110
39,Melanesia,2014,False,150,Northern America,485
40,Melanesia,2014,False,150,South-eastern Asia,130
41,Melanesia,2014,False,150,Eastern Asia,408
42,Melanesia,2014,False,150,Southern Asia,297
43,Melanesia,2014,False,150,Western Europe,185
44,Melanesia,2014,False,150,Northern Europe,236
45,Melanesia,2014,False,150,Western Asia,104
46,Melanesia,2014,False,150,Australia and New Zealand,420
47,Melanesia,2014,False,150,Eastern Europe,59
48,Melanesia,2014,False,150,Northern Africa,46
49,Melanesia,2014,False,150,Central Asia,3
50,Northern Africa,2013,False,7786,Western Europe,10410
51,Northern Africa,2013,False,7786,Northern America,16621
52,Northern Africa,2013,False,7786,South-eastern Asia,4837
53,Northern Africa,2013,False,7786,Southern Asia,17297
54,Northern Africa,2013,False,7786,Eastern Asia,25869
55,Northern Africa,2013,False,7786,Western Asia,14842
56,Northern Africa,2013,False,7786,Northern Africa,26660
57,Northern Africa,2013,False,7786,Southern Europe,9121
58,Northern Africa,2013,False,7786,Northern Europe,7603
59,Northern Africa,2013,False,7786,Eastern Europe,4443
60,Northern Africa,2013,False,7786,Australia and New Zealand,3519
61,Northern Africa,2013,False,7786,Sub-Saharan Africa,2679
62,Northern Africa,2013,False,7786,Latin America and the Caribbean,5435
63,Northern Africa,2013,False,7786,Melanesia,24
64,Northern Africa,2013,False,7786,Central Asia,107
65,Northern Africa,2013,False,7786,Polynesia,1
66,Melanesia,2019,True,191,Eastern Asia,218
67,Melanesia,2019,True,191,Sub-Saharan Africa,136
68,Melanesia,2019,True,191,Southern Asia,202
69,Melanesia,2019,True,191,Northern Africa,20
70,Melanesia,2019,True,191,Western Europe,249
71,Melanesia,2019,True,191,Australia and New Zealand,441
72,Melanesia,2019,True,191,Melanesia,206
73,Melanesia,2019,True,191,Latin America and the Caribbean,126
74,Melanesia,2019,True,191,Northern America,498
75,Melanesia,2019,True,191,Western Asia,54
76,Melanesia,2019,True,191,Northern Europe,291
77,Melanesia,2019,True,191,Southern Europe,141
78,Melanesia,2019,True,191,South-eastern Asia,94
79,Melanesia,2019,True,191,Central Asia,4
80,Melanesia,2019,True,191,Eastern Europe,37
81,Melanesia,2019,True,191,Polynesia,10
82,Polynesia,2015,False,9,Northern America,29
83,Polynesia,2015,False,9,Northern Europe,3
84,Polynesia,2015,False,9,Southern Europe,4
85,Polynesia,2015,False,9,Australia and New Zealand,20
86,Polynesia,2015,False,9,Western Europe,33
87,Polynesia,2015,False,9,Sub-Saharan Africa,14
88,Polynesia,2015,False,9,Eastern Asia,12
89,Polynesia,2015,False,9,Latin America and the Caribbean,6
90,Polynesia,2015,False,9,Polynesia,14
91,Polynesia,2015,False,9,Southern Asia,6
92,Polynesia,2015,False,9,Northern Africa,2
93,Polynesia,2015,False,9,South-eastern Asia,6
94,Polynesia,2015,False,9,Western Asia,6
95,Polynesia,2015,False,9,Melanesia,1
96,Northern Africa,2014,True,4334,Western Asia,8573
97,Northern Africa,2014,True,4334,Southern Asia,10136
98,Northern Africa,2014,True,4334,Sub-Saharan Africa,3916
99,Northern Africa,2014,True,4334,South-eastern Asia,3666
100,Northern Africa,2014,True,4334,Northern Africa,11159
101,Northern Africa,2014,True,4334,Australia and New Zealand,3860
102,Northern Africa,2014,True,4334,Western Europe,10305
103,Northern Africa,2014,True,4334,Northern America,16626
104,Northern Africa,2014,True,4334,Eastern Asia,14153
105,Northern Africa,2014,True,4334,Southern Europe,7579
106,Northern Africa,2014,True,4334,Latin America and the Caribbean,5173
107,Northern Africa,2014,True,4334,Northern Europe,8833
108,Northern Africa,2014,True,4334,Eastern Europe,4212
109,Northern Africa,2014,True,4334,Central Asia,79
110,Northern Africa,2014,True,4334,Melanesia,48
111,Northern Africa,2019,True,7585,Western Asia,10627
112,Northern Africa,2019,True,7585,Northern America,13728
113,Northern Africa,2019,True,7585,Latin America and the Caribbean,4223
114,Northern Africa,2019,True,7585,Northern Europe,7175
115,Northern Africa,2019,True,7585,Southern Europe,7275
116,Northern Africa,2019,True,7585,Australia and New Zealand,2977
117,Northern Africa,2019,True,7585,Eastern Asia,16989
118,Northern Africa,2019,True,7585,Northern Africa,13981
119,Northern Africa,2019,True,7585,Eastern Europe,3903
120,Northern Africa,2019,True,7585,South-eastern Asia,3702
121,Northern Africa,2019,True,7585,Southern Asia,11764
122,Northern Africa,2019,True,7585,Western Europe,8326
123,Northern Africa,2019,True,7585,Sub-Saharan Africa,2783
124,Northern Africa,2019,True,7585,Central Asia,163
125,Northern Africa,2019,True,7585,Melanesia,35
126,Northern Africa,2019,True,7585,Polynesia,2
127,Northern Africa,2013,True,3676,Northern Africa,10606
128,Northern Africa,2013,True,3676,Eastern Europe,4129
129,Northern Africa,2013,True,3676,Southern Europe,7422
130,Northern Africa,2013,True,3676,Western Europe,10257
131,Northern Africa,2013,True,3676,Northern Europe,8101
132,Northern Africa,2013,True,3676,Australia and New Zealand,3550
133,Northern Africa,2013,True,3676,Western Asia,7881
134,Northern Africa,2013,True,3676,Eastern Asia,12603
135,Northern Africa,2013,True,3676,Northern America,15021
136,Northern Africa,2013,True,3676,Sub-Saharan Africa,3194
137,Northern Africa,2013,True,3676,Southern Asia,9585
138,Northern Africa,2013,True,3676,Latin America and the Caribbean,5011
139,Northern Africa,2013,True,3676,South-eastern Asia,3593
140,Northern Africa,2013,True,3676,Central Asia,90
141,Northern Africa,2013,True,3676,Melanesia,25
142,Northern Africa,2017,False,11741,South-eastern Asia,6602
143,Northern Africa,2017,False,11741,Latin America and the Caribbean,6612
144,Northern Africa,2017,False,11741,Eastern Asia,35852
145,Northern Africa,2017,False,11741,Western Asia,20215
146,Northern Africa,2017,False,11741,Southern Asia,24249
147,Northern Africa,2017,False,11741,Northern Africa,36332
148,Northern Africa,2017,False,11741,Northern Europe,7798
149,Northern Africa,2017,False,11741,Northern America,16805
150,Northern Africa,2017,False,11741,Eastern Europe,5455
151,Northern Africa,2017,False,11741,Australia and New Zealand,3636
152,Northern Africa,2017,False,11741,Southern Europe,9735
153,Northern Africa,2017,False,11741,Western Europe,10070
154,Northern Africa,2017,False,11741,Sub-Saharan Africa,3279
155,Northern Africa,2017,False,11741,Melanesia,36
156,Northern Africa,2017,False,11741,Central Asia,180
157,Northern Africa,2017,False,11741,Polynesia,1
158,Southern Asia,2010,True,13582,Northern America,84111
159,Southern Asia,2010,True,13582,South-eastern Asia,12443
160,Southern Asia,2010,True,13582,Sub-Saharan Africa,14294
161,Southern Asia,2010,True,13582,Eastern Asia,56167
162,Southern Asia,2010,True,13582,Southern Asia,89028
163,Southern Asia,2010,True,13582,Western Europe,38537
164,Southern Asia,2010,True,13582,Southern Europe,26005
165,Southern Asia,2010,True,13582,Eastern Europe,12596
166,Southern Asia,2010,True,13582,Latin America and the Caribbean,18676
167,Southern Asia,2010,True,13582,Australia and New Zealand,16586
168,Southern Asia,2010,True,13582,Western Asia,16584
169,Southern Asia,2010,True,13582,Northern Europe,36781
170,Southern Asia,2010,True,13582,Northern Africa,5884
171,Southern Asia,2010,True,13582,Melanesia,136
172,Southern Asia,2010,True,13582,Central Asia,458
173,Southern Asia,2010,True,13582,Polynesia,6
174,Southern Asia,2010,True,13582,Micronesia,1
175,South-eastern Asia,2015,True,18599,South-eastern Asia,65320
176,South-eastern Asia,2015,True,18599,Northern America,108442
177,South-eastern Asia,2015,True,18599,Western Europe,52790
178,South-eastern Asia,2015,True,18599,Eastern Asia,118725
179,South-eastern Asia,2015,True,18599,Western Asia,19768
180,South-eastern Asia,2015,True,18599,Southern Asia,42666
181,South-eastern Asia,2015,True,18599,Southern Europe,32174
182,South-eastern Asia,2015,True,18599,Sub-Saharan Africa,13421
183,South-eastern Asia,2015,True,18599,Eastern Europe,15740
184,South-eastern Asia,2015,True,18599,Latin America and the Caribbean,21632
185,South-eastern Asia,2015,True,18599,Australia and New Zealand,27213
186,South-eastern Asia,2015,True,18599,Northern Europe,53509
187,South-eastern Asia,2015,True,18599,Northern Africa,5667
188,South-eastern Asia,2015,True,18599,Central Asia,339
189,South-eastern Asia,2015,True,18599,Melanesia,230
190,South-eastern Asia,2015,True,18599,Polynesia,31
191,Polynesia,2018,False,20,Northern America,63
192,Polynesia,2018,False,20,Northern Africa,3
193,Polynesia,2018,False,20,Polynesia,28
194,Polynesia,2018,False,20,Western Europe,70
195,Polynesia,2018,False,20,Western Asia,9
196,Polynesia,2018,False,20,Northern Europe,36
197,Polynesia,2018,False,20,Australia and New Zealand,25
198,Polynesia,2018,False,20,Southern Europe,29
199,Polynesia,2018,False,20,Eastern Asia,59
200,Polynesia,2018,False,20,Eastern Europe,11
201,Polynesia,2018,False,20,South-eastern Asia,20
202,Polynesia,2018,False,20,Southern Asia,5
203,Polynesia,2018,False,20,Sub-Saharan Africa,8
204,Polynesia,2018,False,20,Melanesia,5
205,Polynesia,2018,False,20,Latin America and the Caribbean,12
206,Sub-Saharan Africa,2013,True,13403,Latin America and the Caribbean,22404
207,Sub-Saharan Africa,2013,True,13403,Western Europe,62693
208,Sub-Saharan Africa,2013,True,13403,Polynesia,16
209,Sub-Saharan Africa,2013,True,13403,Melanesia,385
210,Sub-Saharan Africa,2013,True,13403,Southern Europe,30342
211,Sub-Saharan Africa,2013,True,13403,Northern Europe,69666
212,Sub-Saharan Africa,2013,True,13403,Eastern Asia,51687
213,Sub-Saharan Africa,2013,True,13403,Australia and New Zealand,27399
214,Sub-Saharan Africa,2013,True,13403,Northern America,137426
215,Sub-Saharan Africa,2013,True,13403,Sub-Saharan Africa,83991
216,Sub-Saharan Africa,2013,True,13403,South-eastern Asia,13100
217,Sub-Saharan Africa,2013,True,13403,Southern Asia,28292
218,Sub-Saharan Africa,2013,True,13403,Western Asia,12653
219,Sub-Saharan Africa,2013,True,13403,Northern Africa,4557
220,Sub-Saharan Africa,2013,True,13403,Eastern Europe,12616
221,Sub-Saharan Africa,2013,True,13403,Central Asia,177
222,Sub-Saharan Africa,2013,True,13403,Micronesia,2
223,Southern Asia,2011,True,18214,Southern Europe,30725
224,Southern Asia,2011,True,18214,Northern Africa,7928
225,Southern Asia,2011,True,18214,Western Europe,44768
226,Southern Asia,2011,True,18214,Western Asia,21487
227,Southern Asia,2011,True,18214,Northern Europe,45231
228,Southern Asia,2011,True,18214,Latin America and the Caribbean,22446
229,Southern Asia,2011,True,18214,Eastern Asia,68992
230,Southern Asia,2011,True,18214,Southern Asia,109896
231,Southern Asia,2011,True,18214,Northern America,96588
232,Southern Asia,2011,True,18214,Eastern Europe,15273
233,Southern Asia,2011,True,18214,Sub-Saharan Africa,18435
234,Southern Asia,2011,True,18214,South-eastern Asia,16556
235,Southern Asia,2011,True,18214,Australia and New Zealand,18866
236,Southern Asia,2011,True,18214,Central Asia,552
237,Southern Asia,2011,True,18214,Melanesia,167
238,Southern Asia,2011,True,18214,Polynesia,6
239,Eastern Europe,2014,False,44543,South-eastern Asia,12815
240,Eastern Europe,2014,False,44543,Eastern Europe,196728
241,Eastern Europe,2014,False,44543,Western Asia,19012
242,Eastern Europe,2014,False,44543,Northern Africa,5660
243,Eastern Europe,2014,False,44543,Sub-Saharan Africa,8587
244,Eastern Europe,2014,False,44543,Southern Asia,36916
245,Eastern Europe,2014,False,44543,Australia and New Zealand,16483
246,Eastern Europe,2014,False,44543,Northern Europe,49378
247,Eastern Europe,2014,False,44543,Western Europe,71637
248,Eastern Europe,2014,False,44543,Latin America and the Caribbean,20591
249,Eastern Europe,2014,False,44543,Southern Europe,47591
250,Eastern Europe,2014,False,44543,Northern America,89263
251,Eastern Europe,2014,False,44543,Eastern Asia,115862
252,Eastern Europe,2014,False,44543,Central Asia,807
253,Eastern Europe,2014,False,44543,Melanesia,34
254,Eastern Europe,2014,False,44543,Polynesia,7
255,Western Asia,2011,True,12620,Southern Europe,42649
256,Western Asia,2011,True,12620,Southern Asia,29763
257,Western Asia,2011,True,12620,Latin America and the Caribbean,20372
258,Western Asia,2011,True,12620,Western Asia,57475
259,Western Asia,2011,True,12620,Northern Europe,55095
260,Western Asia,2011,True,12620,Northern America,136129
261,Western Asia,2011,True,12620,South-eastern Asia,12260
262,Western Asia,2011,True,12620,Eastern Asia,82273
263,Western Asia,2011,True,12620,Sub-Saharan Africa,8424
264,Western Asia,2011,True,12620,Eastern Europe,19384
265,Western Asia,2011,True,12620,Western Europe,70218
266,Western Asia,2011,True,12620,Australia and New Zealand,21152
267,Western Asia,2011,True,12620,Northern Africa,8027
268,Western Asia,2011,True,12620,Polynesia,7
269,Western Asia,2011,True,12620,Central Asia,357
270,Western Asia,2011,True,12620,Melanesia,79
271,Western Asia,2011,True,12620,Micronesia,1
272,Polynesia,2011,False,9,Western Europe,64
273,Polynesia,2011,False,9,Polynesia,6
274,Polynesia,2011,False,9,Northern America,41
275,Polynesia,2011,False,9,Eastern Europe,3
276,Polynesia,2011,False,9,Western Asia,4
277,Polynesia,2011,False,9,Southern Asia,5
278,Polynesia,2011,False,9,Northern Europe,26
279,Polynesia,2011,False,9,Eastern Asia,52
280,Polynesia,2011,False,9,Latin America and the Caribbean,6
281,Polynesia,2011,False,9,Australia and New Zealand,34
282,Polynesia,2011,False,9,South-eastern Asia,19
283,Polynesia,2011,False,9,Northern Africa,1
284,Polynesia,2011,False,9,Melanesia,1
285,Polynesia,2011,False,9,Southern Europe,13
286,Eastern Europe,2016,True,33871,Australia and New Zealand,28395
287,Eastern Europe,2016,True,33871,Southern Asia,37284
288,Eastern Europe,2016,True,33871,Latin America and the Caribbean,31711
289,Eastern Europe,2016,True,33871,Eastern Asia,121365
290,Eastern Europe,2016,True,33871,Northern America,155927
291,Eastern Europe,2016,True,33871,Eastern Europe,127714
292,Eastern Europe,2016,True,33871,Southern Europe,71096
293,Eastern Europe,2016,True,33871,Northern Europe,89917
294,Eastern Europe,2016,True,33871,Western Europe,114995
295,Eastern Europe,2016,True,33871,Western Asia,24399
296,Eastern Europe,2016,True,33871,South-eastern Asia,14918
297,Eastern Europe,2016,True,33871,Northern Africa,6890
298,Eastern Europe,2016,True,33871,Melanesia,111
299,Eastern Europe,2016,True,33871,Sub-Saharan Africa,13168
300,Eastern Europe,2016,True,33871,Central Asia,995
301,Eastern Europe,2016,True,33871,Polynesia,9
302,Melanesia,2015,True,148,Melanesia,439
303,Melanesia,2015,True,148,Southern Asia,1229
304,Melanesia,2015,True,148,Southern Europe,1382
305,Melanesia,2015,True,148,Australia and New Zealand,2371
306,Melanesia,2015,True,148,Northern Europe,3710
307,Melanesia,2015,True,148,Sub-Saharan Africa,1178
308,Melanesia,2015,True,148,Latin America and the Caribbean,1080
309,Melanesia,2015,True,148,Northern America,5587
310,Melanesia,2015,True,148,Western Asia,434
311,Melanesia,2015,True,148,Eastern Asia,3170
312,Melanesia,2015,True,148,Eastern Europe,350
313,Melanesia,2015,True,148,Western Europe,2553
314,Melanesia,2015,True,148,South-eastern Asia,552
315,Melanesia,2015,True,148,Northern Africa,158
316,Melanesia,2015,True,148,Polynesia,18
317,Melanesia,2015,True,148,Central Asia,4
318,Latin America and the Caribbean,2019,True,43209,Northern America,108664
319,Latin America and the Caribbean,2019,True,43209,Western Europe,60357
320,Latin America and the Caribbean,2019,True,43209,Eastern Asia,70371
321,Latin America and the Caribbean,2019,True,43209,Latin America and the Caribbean,105147
322,Latin America and the Caribbean,2019,True,43209,Southern Asia,29431
323,Latin America and the Caribbean,2019,True,43209,Southern Europe,52130
324,Latin America and the Caribbean,2019,True,43209,Northern Europe,55948
325,Latin America and the Caribbean,2019,True,43209,Eastern Europe,19025
326,Latin America and the Caribbean,2019,True,43209,Western Asia,16161
327,Latin America and the Caribbean,2019,True,43209,South-eastern Asia,12339
328,Latin America and the Caribbean,2019,True,43209,Northern Africa,5131
329,Latin America and the Caribbean,2019,True,43209,Australia and New Zealand,22224
330,Latin America and the Caribbean,2019,True,43209,Sub-Saharan Africa,12025
331,Latin America and the Caribbean,2019,True,43209,Melanesia,137
332,Latin America and the Caribbean,2019,True,43209,Central Asia,464
333,Latin America and the Caribbean,2019,True,43209,Polynesia,10
334,Latin America and the Caribbean,2019,True,43209,Micronesia,2
335,Western Asia,2017,True,26656,South-eastern Asia,21678
336,Western Asia,2017,True,26656,Northern Africa,12396
337,Western Asia,2017,True,26656,Eastern Asia,148251
338,Western Asia,2017,True,26656,Western Asia,81807
339,Western Asia,2017,True,26656,Southern Asia,51479
340,Western Asia,2017,True,26656,Latin America and the Caribbean,26676
341,Western Asia,2017,True,26656,Eastern Europe,25388
342,Western Asia,2017,True,26656,Australia and New Zealand,31055
343,Western Asia,2017,True,26656,Northern Europe,79029
344,Western Asia,2017,True,26656,Western Europe,86302
345,Western Asia,2017,True,26656,Northern America,166014
346,Western Asia,2017,True,26656,Sub-Saharan Africa,13352
347,Western Asia,2017,True,26656,Southern Europe,58407
348,Western Asia,2017,True,26656,Central Asia,731
349,Western Asia,2017,True,26656,Melanesia,115
350,Western Asia,2017,True,26656,Polynesia,17
351,Australia and New Zealand,2019,False,38727,Eastern Asia,162192
352,Australia and New Zealand,2019,False,38727,Southern Europe,28854
353,Australia and New Zealand,2019,False,38727,Latin America and the Caribbean,16382
354,Australia and New Zealand,2019,False,38727,South-eastern Asia,19801
355,Australia and New Zealand,2019,False,38727,Southern Asia,38528
356,Australia and New Zealand,2019,False,38727,Northern Europe,49582
357,Australia and New Zealand,2019,False,38727,Sub-Saharan Africa,7918
358,Australia and New Zealand,2019,False,38727,Northern America,88575
359,Australia and New Zealand,2019,False,38727,Australia and New Zealand,93066
360,Australia and New Zealand,2019,False,38727,Western Asia,19026
361,Australia and New Zealand,2019,False,38727,Western Europe,40586
362,Australia and New Zealand,2019,False,38727,Eastern Europe,12172
363,Australia and New Zealand,2019,False,38727,Northern Africa,4474
364,Australia and New Zealand,2019,False,38727,Melanesia,277
365,Australia and New Zealand,2019,False,38727,Central Asia,339
366,Australia and New Zealand,2019,False,38727,Polynesia,18
367,Australia and New Zealand,2019,False,38727,Micronesia,1
368,Latin America and the Caribbean,2018,False,38722,Sub-Saharan Africa,7284
369,Latin America and the Caribbean,2018,False,38722,Western Asia,16205
370,Latin America and the Caribbean,2018,False,38722,Western Europe,34818
371,Latin America and the Caribbean,2018,False,38722,Southern Asia,34669
372,Latin America and the Caribbean,2018,False,38722,Latin America and the Caribbean,118356
373,Latin America and the Caribbean,2018,False,38722,South-eastern Asia,12443
374,Latin America and the Caribbean,2018,False,38722,Eastern Europe,14735
375,Latin America and the Caribbean,2018,False,38722,Northern America,70313
376,Latin America and the Caribbean,2018,False,38722,Southern Europe,41928
377,Latin America and the Caribbean,2018,False,38722,Eastern Asia,79967
378,Latin America and the Caribbean,2018,False,38722,Northern Africa,5960
379,Latin America and the Caribbean,2018,False,38722,Northern Europe,31520
380,Latin America and the Caribbean,2018,False,38722,Australia and New Zealand,15399
381,Latin America and the Caribbean,2018,False,38722,Central Asia,282
382,Latin America and the Caribbean,2018,False,38722,Polynesia,12
383,Latin America and the Caribbean,2018,False,38722,Melanesia,73
384,Latin America and the Caribbean,2018,False,38722,Micronesia,1
385,Polynesia,2018,True,18,Sub-Saharan Africa,6
386,Polynesia,2018,True,18,Latin America and the Caribbean,13
387,Polynesia,2018,True,18,Western Europe,40
388,Polynesia,2018,True,18,Eastern Europe,15
389,Polynesia,2018,True,18,Northern America,101
390,Polynesia,2018,True,18,South-eastern Asia,45
391,Polynesia,2018,True,18,Polynesia,17
392,Polynesia,2018,True,18,Eastern Asia,75
393,Polynesia,2018,True,18,Western Asia,8
394,Polynesia,2018,True,18,Southern Europe,11
395,Polynesia,2018,True,18,Australia and New Zealand,18
396,Polynesia,2018,True,18,Northern Europe,29
397,Polynesia,2018,True,18,Southern Asia,10
398,Polynesia,2018,True,18,Northern Africa,2
399,Polynesia,2018,True,18,Melanesia,1
400,Northern Europe,2019,False,49913,Northern Europe,117060
401,Northern Europe,2019,False,49913,Northern America,113178
402,Northern Europe,2019,False,49913,Eastern Asia,136374
403,Northern Europe,2019,False,49913,Western Europe,65931
404,Northern Europe,2019,False,49913,Southern Europe,47150
405,Northern Europe,2019,False,49913,Australia and New Zealand,28401
406,Northern Europe,2019,False,49913,South-eastern Asia,15884
407,Northern Europe,2019,False,49913,Western Asia,20605
408,Northern Europe,2019,False,49913,Southern Asia,34627
409,Northern Europe,2019,False,49913,Eastern Europe,19319
410,Northern Europe,2019,False,49913,Latin America and the Caribbean,20142
411,Northern Europe,2019,False,49913,Sub-Saharan Africa,8481
412,Northern Europe,2019,False,49913,Northern Africa,4760
413,Northern Europe,2019,False,49913,Central Asia,395
414,Northern Europe,2019,False,49913,Melanesia,105
415,Northern Europe,2019,False,49913,Polynesia,12
416,Northern Europe,2019,False,49913,Micronesia,1
417,Melanesia,2015,False,170,Australia and New Zealand,480
418,Melanesia,2015,False,170,Northern Europe,223
419,Melanesia,2015,False,170,Southern Asia,206
420,Melanesia,2015,False,170,Melanesia,300
421,Melanesia,2015,False,170,Latin America and the Caribbean,127
422,Melanesia,2015,False,170,Northern America,596
423,Melanesia,2015,False,170,Eastern Asia,424
424,Melanesia,2015,False,170,Southern Europe,175
425,Melanesia,2015,False,170,Western Europe,212
426,Melanesia,2015,False,170,Western Asia,56
427,Melanesia,2015,False,170,Northern Africa,22
428,Melanesia,2015,False,170,Sub-Saharan Africa,143
429,Melanesia,2015,False,170,South-eastern Asia,85
430,Melanesia,2015,False,170,Eastern Europe,50
431,Melanesia,2015,False,170,Polynesia,3
432,Melanesia,2015,False,170,Central Asia,3
433,South-eastern Asia,2015,False,27088,Northern America,90202
434,South-eastern Asia,2015,False,27088,Northern Europe,43130
435,South-eastern Asia,2015,False,27088,Southern Europe,30562
436,South-eastern Asia,2015,False,27088,Western Asia,28704
437,South-eastern Asia,2015,False,27088,Southern Asia,69484
438,South-eastern Asia,2015,False,27088,Eastern Asia,215410
439,South-eastern Asia,2015,False,27088,Northern Africa,7679
440,South-eastern Asia,2015,False,27088,Sub-Saharan Africa,9876
441,South-eastern Asia,2015,False,27088,Eastern Europe,16285
442,South-eastern Asia,2015,False,27088,Western Europe,40101
443,South-eastern Asia,2015,False,27088,South-eastern Asia,98369
444,South-eastern Asia,2015,False,27088,Australia and New Zealand,28242
445,South-eastern Asia,2015,False,27088,Latin America and the Caribbean,19252
446,South-eastern Asia,2015,False,27088,Central Asia,433
447,South-eastern Asia,2015,False,27088,Melanesia,122
448,South-eastern Asia,2015,False,27088,Polynesia,33
449,Latin America and the Caribbean,2015,False,34507,South-eastern Asia,15259
450,Latin America and the Caribbean,2015,False,34507,Northern Africa,6688
451,Latin America and the Caribbean,2015,False,34507,Western Europe,55095
452,Latin America and the Caribbean,2015,False,34507,Western Asia,18659
453,Latin America and the Caribbean,2015,False,34507,Eastern Asia,98641
454,Latin America and the Caribbean,2015,False,34507,Southern Asia,41336
455,Latin America and the Caribbean,2015,False,34507,Northern America,109201
456,Latin America and the Caribbean,2015,False,34507,Latin America and the Caribbean,161640
457,Latin America and the Caribbean,2015,False,34507,Southern Europe,56671
458,Latin America and the Caribbean,2015,False,34507,Northern Europe,48573
459,Latin America and the Caribbean,2015,False,34507,Eastern Europe,19477
460,Latin America and the Caribbean,2015,False,34507,Australia and New Zealand,22900
461,Latin America and the Caribbean,2015,False,34507,Sub-Saharan Africa,10169
462,Latin America and the Caribbean,2015,False,34507,Melanesia,113
463,Latin America and the Caribbean,2015,False,34507,Central Asia,252
464,Latin America and the Caribbean,2015,False,34507,Micronesia,1
465,Latin America and the Caribbean,2015,False,34507,Polynesia,10
466,Eastern Europe,2018,True,35100,South-eastern Asia,12244
467,Eastern Europe,2018,True,35100,Eastern Europe,101411
468,Eastern Europe,2018,True,35100,Southern Europe,54590
469,Eastern Europe,2018,True,35100,Eastern Asia,94492
470,Eastern Europe,2018,True,35100,Northern America,118358
471,Eastern Europe,2018,True,35100,Western Europe,86426
472,Eastern Europe,2018,True,35100,Northern Europe,68629
473,Eastern Europe,2018,True,35100,Southern Asia,30553
474,Eastern Europe,2018,True,35100,Northern Africa,5514
475,Eastern Europe,2018,True,35100,Latin America and the Caribbean,24029
476,Eastern Europe,2018,True,35100,Australia and New Zealand,21910
477,Eastern Europe,2018,True,35100,Western Asia,19975
478,Eastern Europe,2018,True,35100,Sub-Saharan Africa,10005
479,Eastern Europe,2018,True,35100,Central Asia,971
480,Eastern Europe,2018,True,35100,Melanesia,46
481,Eastern Europe,2018,True,35100,Polynesia,9
482,Latin America and the Caribbean,2010,False,26895,Western Europe,67200
483,Latin America and the Caribbean,2010,False,26895,Northern America,134879
484,Latin America and the Caribbean,2010,False,26895,Latin America and the Caribbean,178014
485,Latin America and the Caribbean,2010,False,26895,Australia and New Zealand,24874
486,Latin America and the Caribbean,2010,False,26895,Eastern Europe,20992
487,Latin America and the Caribbean,2010,False,26895,Sub-Saharan Africa,12426
488,Latin America and the Caribbean,2010,False,26895,Southern Asia,45140
489,Latin America and the Caribbean,2010,False,26895,Eastern Asia,102353
490,Latin America and the Caribbean,2010,False,26895,Northern Europe,54640
491,Latin America and the Caribbean,2010,False,26895,Southern Europe,61947
492,Latin America and the Caribbean,2010,False,26895,Western Asia,21102
493,Latin America and the Caribbean,2010,False,26895,South-eastern Asia,16519
494,Latin America and the Caribbean,2010,False,26895,Northern Africa,7073
495,Latin America and the Caribbean,2010,False,26895,Melanesia,129
496,Latin America and the Caribbean,2010,False,26895,Polynesia,11
497,Latin America and the Caribbean,2010,False,26895,Central Asia,228
498,Eastern Europe,2018,False,44407,South-eastern Asia,9783
499,Eastern Europe,2018,False,44407,Eastern Asia,82607
500,Eastern Europe,2018,False,44407,Northern America,50017
501,Eastern Europe,2018,False,44407,Southern Europe,29550
502,Eastern Europe,2018,False,44407,Australia and New Zealand,9947
