CitationCount,CitingInstitutions_GiniSim_perc0,CitingInstitutions_GiniSim_perc25,CitingInstitutions_GiniSim_perc50,CitingInstitutions_GiniSim_perc75,CitingInstitutions_GiniSim_perc100,CitingCountries_GiniSim_perc0,CitingCountries_GiniSim_perc25,CitingCountries_GiniSim_perc50,CitingCountries_GiniSim_perc75,CitingCountries_GiniSim_perc100,CitingSubregions_GiniSim_perc0,CitingSubregions_GiniSim_perc25,CitingSubregions_GiniSim_perc50,CitingSubregions_GiniSim_perc75,CitingSubregions_GiniSim_perc100,CitingRegions_GiniSim_perc0,CitingRegions_GiniSim_perc25,CitingRegions_GiniSim_perc50,CitingRegions_GiniSim_perc75,CitingRegions_GiniSim_perc100,CitingInstitutions_Shannon_perc0,CitingInstitutions_Shannon_perc25,CitingInstitutions_Shannon_perc50,CitingInstitutions_Shannon_perc75,CitingInstitutions_Shannon_perc100,CitingCountries_Shannon_perc0,CitingCountries_Shannon_perc25,CitingCountries_Shannon_perc50,CitingCountries_Shannon_perc75,CitingCountries_Shannon_perc100,CitingSubregions_Shannon_perc0,CitingSubregions_Shannon_perc25,CitingSubregions_Shannon_perc50,CitingSubregions_Shannon_perc75,CitingSubregions_Shannon_perc100,CitingRegions_Shannon_perc0,CitingRegions_Shannon_perc25,CitingRegions_Shannon_perc50,CitingRegions_Shannon_perc75,CitingRegions_Shannon_perc100
2,0,0,0.5,0.66666666666666674,0.99866313942960616,0,0,0.44444444444444442,0.5,0.98837809917355379,0,0,0,0.5,0.9296875,0,0,0,0.5,0.79999999999999993,0,0,0.69314718055994529,1.0986122886681096,6.6190493708617852,0,0,0.63651416829481278,0.69314718055994529,4.4615834694654817,0,0,0,0.69314718055994529,2.6859453246697877,0,0,0,0.69314718055994529,1.6094379124341005
3,0,0.5,0.66666666666666674,0.79999999999999993,0.99866146221656948,0,0,0.5,0.66666666666666674,0.9825315775329212,0,0,0.44444444444444442,0.625,0.923076923076923,0,0,0.44444444444444442,0.5,0.79999999999999993,0,0.69314718055994529,1.0986122886681096,1.6094379124341005,6.6205499325859432,0,0,0.69314718055994529,1.0986122886681096,4.0654215900382304,0,0,0.63651416829481278,1.0397207708399179,2.5665989181145106,0,0,0.63651416829481278,0.69314718055994529,1.6094379124341005
4,0,0.625,0.75,0.83333333333333326,0.99866311111111106,0,0.375,0.56,0.72,0.98724007561436677,0,0.31999999999999984,0.5,0.66666666666666674,0.91836734693877553,0,0,0.44444444444444442,0.56,0.79999999999999993,0,1.0397207708399179,1.3862943611198906,1.7917594692280547,6.61822481404879,0,0.56233514461880829,0.95027053923323468,1.3321790402101223,4.4313780752368714,0,0.50040242353818787,0.69314718055994529,1.0986122886681096,2.5796246736085755,0,0,0.63651416829481278,0.95027053923323468,1.6094379124341005
5,0,0.66666666666666674,0.79999999999999993,0.86,0.99866503562522579,0,0.44444444444444442,0.625,0.75,0.98466708674648185,0,0.375,0.56,0.69387755102040816,0.921875,0,0.27777777777777768,0.44444444444444442,0.61111111111111116,0.79999999999999993,0,1.2424533248940002,1.6094379124341005,2.0431918705451206,6.6220380520576816,0,0.63651416829481278,1.0549201679861442,1.3862943611198906,4.193924059347407,0,0.56233514461880829,0.95027053923323468,1.277034259466139,2.5993019270997944,0,0.45056120886630463,0.63651416829481278,1.0042424730540764,1.6094379124341005
6,0,0.75,0.83333333333333326,0.88888888888888884,0.99866847945265558,0,0.5,0.66666666666666674,0.77777777777777779,0.982421875,0,0.44444444444444442,0.61224489795918369,0.72,0.91555555555555557,0,0.31999999999999984,0.48,0.61111111111111116,0.79999999999999993,0,1.3862943611198906,1.8343719702816237,2.1972245773362196,6.6230454463055946,0,0.69314718055994529,1.2206072645530175,1.5607104090414063,4.0722396857896817,0,0.63651416829481278,1.0397207708399179,1.3321790402101223,2.5325246057800719,0,0.50040242353818787,0.68696157659732338,1.0114042647073518,1.6094379124341005
7,0,0.78125,0.85714285714285721,0.89999999999999991,0.99866852572816633,0,0.53125,0.69387755102040816,0.79012345679012341,0.98393175957151358,0,0.46875,0.625,0.73469387755102045,0.91412742382271472,0,0.31999999999999984,0.5,0.61224489795918369,0.79999999999999993,0,1.6094379124341005,2.0253262207700673,2.3388717195966935,6.6238693524026218,0,0.93688830753901586,1.3296613488547582,1.6663325853283251,4.1772090941083011,0,0.69314718055994529,1.0821955300387671,1.3862943611198906,2.5577938601077328,0,0.50040242353818787,0.73562193975879464,1.0114042647073518,1.6094379124341005
8,0,0.81481481481481488,0.875,0.90909090909090906,0.99865975196663026,0,0.5625,0.72,0.80555555555555558,0.98214467911437608,0,0.5,0.65625,0.743801652892562,0.91358024691358031,0,0.375,0.5,0.61728395061728392,0.79999999999999993,0,1.7480673485460891,2.1458417525947544,2.4583113296830845,6.6188727626801773,0,1.0027182645175161,1.3862943611198906,1.7351264569629223,4.1328845196808395,0,0.796311640173813,1.1935496040981333,1.4750763110546947,2.4994993241251935,0,0.56233514461880829,0.8599672810355049,1.0397207708399179,1.6094379124341005
9,0,0.83333333333333326,0.88888888888888884,0.91836734693877553,0.9986651182732984,0,0.6,0.73469387755102045,0.81632653061224492,0.98283418553688828,0,0.5,0.66666666666666674,0.75,0.9088,0,0.375,0.52892561983471076,0.625,0.79999999999999993,0,1.9061547465398496,2.2718685126965625,2.5649493574615376,6.6228694034752911,0,1.0549201679861442,1.4750763110546947,1.7917594692280547,4.154195432542557,0,0.8979457248567797,1.2424533248940002,1.5229550675313184,2.5164103001539408,0,0.59826958858525725,0.8979457248567797,1.0549201679861442,1.6094379124341005
10,0,0.8512110726643598,0.89940828402366857,0.92708333333333337,0.99865444498048328,0,0.61224489795918369,0.74556213017751483,0.82,0.98209366391184572,0,0.53125,0.67999999999999994,0.76033057851239672,0.92063492063492069,0,0.39669421487603307,0.53125,0.625,0.79999999999999993,0,2.0198149924929458,2.3693821196946767,2.6653941599833866,6.6204225750156933,0,1.1209503926735833,1.5403058252265169,1.8594288151492289,4.1141533778615358,0,0.94044798865532642,1.277034259466139,1.5571130980576458,2.5824243173501258,0,0.63651416829481278,0.90025605126853692,1.060944240790747,1.6094379124341005
11,0,0.863905325443787,0.90702947845804993,0.932588990735042,0.99866533601067731,0,0.625,0.76,0.82993197278911568,0.98023663163460906,0,0.55102040816326525,0.6875,0.76543209876543217,0.91135734072022156,0,0.40625,0.544378698224852,0.628099173553719,0.79561042524005487,0,2.0982737395252498,2.4583113296830845,2.7516666169315172,6.6248941158892078,0,1.1682824501765625,1.5832584594204766,1.9061547465398496,4.0131030557230742,0,0.97431475286934943,1.3208883431493219,1.5867847075280475,2.4793607351977016,0,0.639031859650177,0.91842778499309774,1.0789922078775833,1.5991654107425068
