CitationCount,CitingInstitutions_GiniSim_perc0,CitingInstitutions_GiniSim_perc25,CitingInstitutions_GiniSim_perc50,CitingInstitutions_GiniSim_perc75,CitingInstitutions_GiniSim_perc100,CitingCountries_GiniSim_perc0,CitingCountries_GiniSim_perc25,CitingCountries_GiniSim_perc50,CitingCountries_GiniSim_perc75,CitingCountries_GiniSim_perc100,CitingSubregions_GiniSim_perc0,CitingSubregions_GiniSim_perc25,CitingSubregions_GiniSim_perc50,CitingSubregions_GiniSim_perc75,CitingSubregions_GiniSim_perc100,CitingRegions_GiniSim_perc0,CitingRegions_GiniSim_perc25,CitingRegions_GiniSim_perc50,CitingRegions_GiniSim_perc75,CitingRegions_GiniSim_perc100,CitingInstitutions_Shannon_perc0,CitingInstitutions_Shannon_perc25,CitingInstitutions_Shannon_perc50,CitingInstitutions_Shannon_perc75,CitingInstitutions_Shannon_perc100,CitingCountries_Shannon_perc0,CitingCountries_Shannon_perc25,CitingCountries_Shannon_perc50,CitingCountries_Shannon_perc75,CitingCountries_Shannon_perc100,CitingSubregions_Shannon_perc0,CitingSubregions_Shannon_perc25,CitingSubregions_Shannon_perc50,CitingSubregions_Shannon_perc75,CitingSubregions_Shannon_perc100,CitingRegions_Shannon_perc0,CitingRegions_Shannon_perc25,CitingRegions_Shannon_perc50,CitingRegions_Shannon_perc75,CitingRegions_Shannon_perc100
2,0.0,0.0,0.5,0.66666666666666674,0.99590163934426235,0.0,0.0,0.0,0.5,0.98148148148148151,0.0,0.0,0.0,0.5,0.9285714285714286,0.0,0.0,0.0,0.5,0.79999999999999993,0.0,0.0,0.69314718055994529,1.0986122886681096,5.4971682252932288,0.0,0.0,0.0,0.69314718055994529,3.9889840465642794,0.0,0.0,0.0,0.69314718055994529,2.6390573296152584,0.0,0.0,0.0,0.69314718055994529,1.6094379124341005
3,0.0,0.44444444444444442,0.66666666666666674,0.75,0.99682734426669473,0.0,0.0,0.5,0.625,0.97468749999999993,0.0,0.0,0.44444444444444442,0.5,0.91836734693877553,0.0,0.0,0.375,0.5,0.79999999999999993,0.0,0.63651416829481278,1.0986122886681096,1.3862943611198906,5.9611587447949885,0.0,0.0,0.69314718055994529,1.0397207708399179,3.6931269300338245,0.0,0.0,0.63651416829481278,0.69314718055994529,2.540036303820981,0.0,0.0,0.56233514461880829,0.69314718055994529,1.6094379124341005
4,0.0,0.5,0.72,0.79999999999999993,0.998802445595419,0.0,0.31999999999999984,0.5,0.66666666666666674,0.98320451843044,0.0,0.0,0.5,0.625,0.91632373113854593,0.0,0.0,0.44444444444444442,0.5,0.79999999999999993,0.0,0.69314718055994529,1.3321790402101223,1.6094379124341005,6.7743232514953364,0.0,0.50040242353818787,0.69314718055994529,1.0986122886681096,4.1276371314339571,0.0,0.0,0.69314718055994529,1.0397207708399179,2.5256733320488336,0.0,0.0,0.63651416829481278,0.69314718055994529,1.6094379124341005
5,0.0,0.6399999999999999,0.76543209876543217,0.83950617283950613,0.996503786064833,0.0,0.44444444444444442,0.625,0.72,0.98163452708907251,0.0,0.375,0.5,0.66666666666666674,0.91666666666666663,0.0,0.0,0.44444444444444442,0.56,0.79999999999999993,0.0,1.0900596587107838,1.5498260458782016,1.8891591637540215,5.7245103347566433,0.0,0.63651416829481278,1.0397207708399179,1.3321790402101223,4.0426235219076476,0.0,0.56233514461880829,0.86756322848146117,1.0986122886681096,2.523210952952891,0.0,0.0,0.63651416829481278,0.95027053923323468,1.6094379124341005
6,0.0,0.6875,0.79999999999999993,0.86419753086419759,0.99591942065450556,0.0,0.44897959183673464,0.6399999999999999,0.75,0.97895408163265307,0.0,0.375,0.59375,0.69444444444444442,0.91836734693877553,0.0,0.27777777777777768,0.44897959183673464,0.61111111111111116,0.79999999999999993,0.0,1.277034259466139,1.6769877743224173,2.0431918705451206,5.5063180019978581,0.0,0.67301166700925652,1.0986122886681096,1.4750763110546947,3.9169869480879305,0.0,0.56233514461880829,1.0042424730540764,1.3208883431493219,2.5520852976209678,0.0,0.45056120886630463,0.67301166700925652,1.0042424730540764,1.6094379124341005
7,0.0,0.75,0.83333333333333326,0.88,0.99880383073830359,0.0,0.5,0.66666666666666674,0.77777777777777779,0.98319448434357948,0.0,0.44444444444444442,0.61224489795918369,0.72,0.9177777777777778,0.0,0.31999999999999984,0.48,0.61111111111111116,0.79999999999999993,0.0,1.3862943611198906,1.8310204811135162,2.1972245773362196,6.7754352053200835,0.0,0.796311640173813,1.2424533248940002,1.5607104090414063,4.1258554561760272,0.0,0.63651416829481278,1.0397207708399179,1.3321790402101223,2.537768656925449,0.0,0.50040242353818787,0.69314718055994529,1.0114042647073518,1.6094379124341005
8,0.0,0.77777777777777779,0.85714285714285721,0.89795918367346939,0.99864633062599462,0.0,0.54545454545454541,0.69421487603305787,0.78125,0.98088636840999788,0.0,0.46000000000000008,0.625,0.72222222222222221,0.91648482443959534,0.0,0.31999999999999984,0.5,0.61157024793388437,0.79999999999999993,0.0,1.5802363404761086,1.9722469794234416,2.3025850929940455,6.61411514842487,0.0,0.95027053923323468,1.3296613488547582,1.6674619334292946,4.02561097191663,0.0,0.69314718055994529,1.0888999753452238,1.3862943611198906,2.5128992873377616,0.0,0.50040242353818787,0.796311640173813,1.0114042647073518,1.6094379124341005
9,0.0,0.79999999999999993,0.86505190311418678,0.90816326530612246,0.99703030832387107,0.0,0.5714285714285714,0.72,0.8,0.98237919962408959,0.0,0.4982698961937716,0.653061224489796,0.7407407407407407,0.91522491349480972,0.0,0.37037037037037035,0.5,0.61728395061728392,0.79999999999999993,0.0,1.7328679513998633,2.094729047527649,2.4307913288782319,5.871260875616966,0.0,1.0114042647073518,1.3862943611198906,1.7328679513998633,4.140913900754768,0.0,0.80181855254333734,1.1973401339967784,1.4750763110546947,2.5557579345476755,0.0,0.56233514461880829,0.85874091300628685,1.0397207708399179,1.6094379124341005
10,0.0,0.81777777777777771,0.88,0.91555555555555557,0.99880086180363192,0.0,0.6,0.73469387755102045,0.81481481481481488,0.982867220962459,0.0,0.5,0.66666666666666674,0.75,0.91900826446280992,0.0,0.375,0.52892561983471076,0.625,0.79999999999999993,0.0,1.8310204811135162,2.2047854169135204,2.5239220329001788,6.7762233829909384,0.0,1.073542846408523,1.4750763110546947,1.791759469228055,4.1236117683327578,0.0,0.8979457248567797,1.2406842919533958,1.5157079520857129,2.5365602587224361,0.0,0.59826958858525725,0.8979457248567797,1.0549201679861442,1.6094379124341005
11,0.0,0.83673469387755106,0.89,0.923076923076923,0.998763934472612,0.0,0.61224489795918369,0.743801652892562,0.81944444444444442,0.98167438271604934,0.0,0.53125,0.66666666666666674,0.76,0.91358024691358031,0.0,0.39669421487603307,0.53125,0.625,0.79999999999999993,0.0,1.945910149055313,2.3034884952192693,2.6156305770275505,6.76200057266569,0.0,1.1490596969706202,1.5396544474400977,1.8446214763655029,4.0875068263298528,0.0,0.93715585306570093,1.277034259466139,1.5437891850588952,2.5070264355574188,0.0,0.63651416829481278,0.90025605126853692,1.0608569471580214,1.6094379124341005
12,0.0,0.84722222222222221,0.89940828402366857,0.9285714285714286,0.99880103464618641,0.0,0.62603878116343492,0.757396449704142,0.826530612244898,0.98271975957926372,0.0,0.54545454545454541,0.68444444444444441,0.76388888888888884,0.91276400367309452,0.0,0.40625,0.544378698224852,0.628099173553719,0.79338842975206614,0.0,2.0317592185692712,2.3959081192939284,2.7072697097848129,6.7743645802624872,0.0,1.2130075659799042,1.5832584594204766,1.8989267893363286,4.11398835121648,0.0,0.9649629230074277,1.310783678099714,1.5740973368489728,2.4985903919729475,0.0,0.639031859650177,0.91646488553947125,1.0775563270668007,1.5941666991180168
13,0.0,0.859504132231405,0.90666666666666662,0.93333333333333335,0.99843238219686437,0.0,0.64197530864197527,0.76444444444444448,0.83333333333333337,0.98125,0.0,0.56198347107438018,0.69387755102040816,0.76543209876543217,0.91731112433075546,0.0,0.41666666666666663,0.5546875,0.63667820069204151,0.79999999999999993,0.0,2.1116229679959257,2.4799555205445176,2.7738522086804829,6.4861518118118244,0.0,1.2424533248940002,1.6326309271543518,1.945910149055313,4.1024746365727287,0.0,1.0042424730540764,1.3421257227487469,1.6020559154587262,2.5278006965824824,0.0,0.666278442414676,0.93021683708886393,1.0851886129676505,1.6094379124341005
14,0.0,0.87037037037037035,0.91358024691358031,0.9375,0.998643388393131,0.0,0.65625,0.7734375,0.83950617283950613,0.97876543209876543,0.0,0.5703125,0.6953125,0.7734375,0.9049586776859504,0.0,0.42975206611570249,0.56,0.63905325443786976,0.79999999999999993,0.0,2.197370062681308,2.5536815580297962,2.8456384931342553,6.61403541332169,0.0,1.2945451658448961,1.6769877743224173,1.9792045174343245,4.1010618327113768,0.0,1.0408398374232388,1.3667110520552042,1.6326309271543518,2.4755451450959232,0.0,0.68696157659732338,0.94334839232903933,1.0900596587107838,1.6094379124341005
15,0.0,0.87654320987654322,0.91836734693877553,0.94117647058823528,0.99880524172154428,0.0,0.6640625,0.77777777777777779,0.84297520661157033,0.98248929201310153,0.0,0.58000000000000007,0.70370370370370372,0.77685950413223137,0.915576694411415,0.0,0.43877551020408168,0.56198347107438018,0.64,0.79584775086505188,0.0,2.2718685126965625,2.6229962760857908,2.9124944033310518,6.7794974495779208,0.0,1.3334730391185026,1.7170759801988815,2.0253262207700673,4.10575985897978,0.0,1.0805738483648537,1.4019454593787288,1.6565511266966539,2.5001380263654269,0.0,0.69314718055994529,0.95569989111253428,1.0986122886681096,1.5992212565872681
16,0.0,0.88435374149659862,0.923076923076923,0.944,0.99880143479151506,0.0,0.67455621301775137,0.78222222222222215,0.845,0.98204994797086365,0.0,0.59259259259259256,0.7100591715976331,0.77777777777777779,0.9136304253157207,0.0,0.44444444444444442,0.56747404844290661,0.64265927977839343,0.793575252825699,0.0,2.3393717343898155,2.6859453246697877,2.9669434861893542,6.7793632800433,0.0,1.3778195080390327,1.7494938253936616,2.0467385326945515,4.1018159264758358,0.0,1.1163670752893367,1.4241299173467734,1.6715952780212542,2.5217259178579527,0.0,0.7298712099831165,0.95961479391204918,1.1174899594231538,1.5928935013202119
17,0.0,0.89,0.92592592592592593,0.94666666666666666,0.99863349066840279,0.0,0.68367346938775508,0.78925619834710736,0.84773662551440332,0.97902651365255244,0.0,0.6,0.71280276816609,0.78125,0.91156159501002454,0.0,0.45061728395061729,0.56944444444444442,0.6428571428571429,0.79513888888888884,0.0,2.399204296202615,2.7388395107730039,3.0258033808276448,6.61706598469412,0.0,1.4184836619456567,1.7868083399845722,2.0833776406444362,3.9902616034156346,0.0,1.1393620327464706,1.4469189829363254,1.6863004627935521,2.4775253852017891,0.0,0.7595473914748635,0.97619005003975978,1.1269287948006759,1.5974167124867598
18,0.0,0.89620409823303815,0.93004115226337447,0.9494949494949495,0.99860491307340182,0.0,0.6875,0.79289940828402372,0.85207100591715967,0.977439446366782,0.0,0.60416666666666652,0.71875,0.78395061728395066,0.91319857312722952,0.0,0.45918367346938771,0.5714285714285714,0.64462809917355379,0.79999999999999993,0.0,2.4583113296830845,2.7985132569432949,3.0804763069961512,6.6087979431173371,0.0,1.44728995277781,1.8128014196539852,2.1116308425056021,4.0674057355825388,0.0,1.1626998334975678,1.4669071049122544,1.7047480922384253,2.5005113965267576,0.0,0.77746213191092872,0.98408650308291457,1.1375610820539095,1.6094379124341005
19,0.0,0.89965397923875434,0.93388429752066116,0.95138888888888884,0.998792945696097,0.0,0.69387755102040816,0.796875,0.8550295857988166,0.98035913584183676,0.0,0.611111111111111,0.72108843537414968,0.78512396694214881,0.91810964888912572,0.0,0.46180555555555547,0.578125,0.64814814814814814,0.79881656804733725,0.0,2.5088168327938618,2.8531772127889568,3.1282795608278713,6.7737607660990617,0.0,1.4735023850806486,1.8428570055276676,2.1383330595080277,4.070552297239292,0.0,1.1874157698436563,1.4832209601189688,1.7170759801988815,2.5253032102413404,0.0,0.79248910526736982,0.99492363257177518,1.1488491992243572,1.6065844201733921
20,0.0,0.905,0.93628808864265922,0.9536,0.99878986446969031,0.0,0.70118343195266264,0.8,0.85759999999999992,0.98023668639053252,0.0,0.61759999999999993,0.72222222222222221,0.78892733564013839,0.91626666666666667,0.0,0.47058823529411753,0.58000000000000007,0.6484375,0.79778393351800558,0.0,2.5649493574615367,2.8976680950647618,3.1709395301969012,6.776556872837479,0.0,1.5065950881316383,1.8681274018847212,2.1588687657608419,4.0643944605064952,0.0,1.2035750992500946,1.4985690796770057,1.7310255598676203,2.5152423968097182,0.0,0.80374210731620288,1.0017680654251162,1.1553465425096352,1.6035681031705153
