CitationCount,CitingInstitutions_GiniSim_perc0,CitingInstitutions_GiniSim_perc25,CitingInstitutions_GiniSim_perc50,CitingInstitutions_GiniSim_perc75,CitingInstitutions_GiniSim_perc100,CitingCountries_GiniSim_perc0,CitingCountries_GiniSim_perc25,CitingCountries_GiniSim_perc50,CitingCountries_GiniSim_perc75,CitingCountries_GiniSim_perc100,CitingSubregions_GiniSim_perc0,CitingSubregions_GiniSim_perc25,CitingSubregions_GiniSim_perc50,CitingSubregions_GiniSim_perc75,CitingSubregions_GiniSim_perc100,CitingRegions_GiniSim_perc0,CitingRegions_GiniSim_perc25,CitingRegions_GiniSim_perc50,CitingRegions_GiniSim_perc75,CitingRegions_GiniSim_perc100,CitingInstitutions_Shannon_perc0,CitingInstitutions_Shannon_perc25,CitingInstitutions_Shannon_perc50,CitingInstitutions_Shannon_perc75,CitingInstitutions_Shannon_perc100,CitingCountries_Shannon_perc0,CitingCountries_Shannon_perc25,CitingCountries_Shannon_perc50,CitingCountries_Shannon_perc75,CitingCountries_Shannon_perc100,CitingSubregions_Shannon_perc0,CitingSubregions_Shannon_perc25,CitingSubregions_Shannon_perc50,CitingSubregions_Shannon_perc75,CitingSubregions_Shannon_perc100,CitingRegions_Shannon_perc0,CitingRegions_Shannon_perc25,CitingRegions_Shannon_perc50,CitingRegions_Shannon_perc75,CitingRegions_Shannon_perc100
2,0.0,0.0,0.5,0.66666666666666674,0.99665681268476214,0.0,0.0,0.0,0.5,0.98472525292600677,0.0,0.0,0.0,0.5,0.9273356401384083,0.0,0.0,0.0,0.5,0.79999999999999993,0.0,0.0,0.69314718055994529,1.0986122886681096,5.706676094366868,0.0,0.0,0.0,0.69314718055994529,4.2041040589658278,0.0,0.0,0.0,0.69314718055994529,2.6701198898068181,0.0,0.0,0.0,0.69314718055994529,1.6094379124341005
3,0.0,0.44444444444444442,0.625,0.75,0.99590191023861463,0.0,0.0,0.44444444444444442,0.625,0.9784,0.0,0.0,0.44444444444444442,0.5,0.91836734693877553,0.0,0.0,0.0,0.5,0.79999999999999993,0.0,0.63651416829481278,1.0397207708399179,1.3862943611198906,5.4996961930009656,0.0,0.0,0.63651416829481278,1.0397207708399179,3.8565712309833495,0.0,0.0,0.63651416829481278,0.69314718055994529,2.540036303820981,0.0,0.0,0.0,0.69314718055994529,1.6094379124341005
4,0.0,0.5,0.66666666666666674,0.79999999999999993,0.99774779303826744,0.0,0.0,0.5,0.66666666666666674,0.97873799725651578,0.0,0.0,0.44444444444444442,0.625,0.91555555555555557,0.0,0.0,0.375,0.5,0.79999999999999993,0.0,0.69314718055994529,1.0986122886681096,1.6094379124341005,6.0972106686992271,0.0,0.0,0.69314718055994529,1.0986122886681096,3.9022779127286449,0.0,0.0,0.63651416829481278,1.0397207708399179,2.523210952952891,0.0,0.0,0.56233514461880829,0.69314718055994529,1.6094379124341005
5,0.0,0.625,0.75,0.83333333333333326,0.99607625299835878,0.0,0.375,0.5714285714285714,0.72,0.9772,0.0,0.31999999999999984,0.5,0.66666666666666674,0.91412742382271472,0.0,0.0,0.44444444444444442,0.56,0.79999999999999993,0.0,1.0397207708399179,1.3862943611198906,1.7917594692280547,5.6116801913687882,0.0,0.56233514461880829,0.95569989111253428,1.3321790402101223,3.8442717674063207,0.0,0.50040242353818787,0.69314718055994529,1.0986122886681096,2.4799555205445176,0.0,0.0,0.63651416829481278,0.95027053923323468,1.6094379124341005
6,0.0,0.66666666666666674,0.79012345679012341,0.85714285714285721,0.99879704108014933,0.0,0.44444444444444442,0.625,0.73469387755102045,0.98283293155088025,0.0,0.375,0.56,0.6776859504132231,0.91124260355029585,0.0,0.27777777777777768,0.44444444444444442,0.5714285714285714,0.79999999999999993,0.0,1.0986122886681096,1.6094379124341005,1.945910149055313,6.7718251270337291,0.0,0.63651416829481278,1.0397207708399179,1.3862943611198906,4.1201861823217785,0.0,0.56233514461880829,0.95027053923323468,1.2554823251787535,2.4981244493184143,0.0,0.45056120886630463,0.63651416829481278,0.9649629230074277,1.6094379124341005
7,0.0,0.72,0.81632653061224492,0.875,0.99879744808337689,0.0,0.49382716049382713,0.66666666666666674,0.76543209876543217,0.98263888888888884,0.0,0.44444444444444442,0.61111111111111116,0.71875,0.91155046826222685,0.0,0.27777777777777768,0.48,0.61111111111111116,0.79999999999999993,0.0,1.3321790402101223,1.7478680974667573,2.0794415416798357,6.77244286432872,0.0,0.69314718055994529,1.1537419427010902,1.5498260458782016,4.1138151214958558,0.0,0.63651416829481278,1.0114042647073518,1.3296613488547582,2.4976951061257067,0.0,0.45056120886630463,0.6829081047004717,1.0042424730540764,1.6094379124341005
8,0.0,0.75,0.83950617283950613,0.88888888888888884,0.99875928335837194,0.0,0.5,0.6875,0.77777777777777779,0.98296819534583524,0.0,0.44444444444444442,0.61728395061728392,0.72,0.9173553719008265,0.0,0.31999999999999984,0.48979591836734704,0.61111111111111116,0.79999999999999993,0.0,1.4941751382893083,1.9061547465398496,2.2450352741261774,6.775577490701207,0.0,0.86756322848146117,1.277034259466139,1.5941666991180168,4.1356103212818933,0.0,0.67301166700925652,1.0549201679861442,1.3517839942896459,2.5310287603282258,0.0,0.50040242353818787,0.69314718055994529,1.0114042647073518,1.6094379124341005
9,0.0,0.78,0.85714285714285721,0.89999999999999991,0.99665221224057188,0.0,0.56,0.71604938271604945,0.7911111111111111,0.97885428681276432,0.0,0.48,0.6399999999999999,0.73469387755102045,0.91124260355029585,0.0,0.345679012345679,0.5,0.61224489795918369,0.79999999999999993,0.0,1.6094379124341005,2.0253262207700673,2.351673301904631,5.772368476324262,0.0,0.95569989111253428,1.3321790402101223,1.6769877743224173,3.9620735222250509,0.0,0.73562193975879464,1.1490596969706202,1.4270610433807245,2.4793607351977016,0.0,0.56233514461880829,0.80181855254333734,1.0296530140645737,1.6094379124341005
10,0.0,0.8,0.875,0.90909090909090906,0.998799841301329,0.0,0.5714285714285714,0.72189349112426027,0.80612244897959184,0.98285636227033668,0.0,0.5,0.65625,0.7407407407407407,0.91460055096418735,0.0,0.375,0.5,0.62,0.79999999999999993,0.0,1.7478680974667573,2.1383330595080277,2.4583113296830845,6.7808044585904916,0.0,1.0335620542068176,1.4226300262075473,1.7478680974667573,4.1383648467214105,0.0,0.84868555772641718,1.2130075659799042,1.4844575358174861,2.5129886671027983,0.0,0.56233514461880829,0.86756322848146117,1.0397207708399179,1.6094379124341005
11,0.0,0.81656804733727806,0.88,0.91666666666666663,0.99862910836932783,0.0,0.611111111111111,0.73469387755102045,0.81481481481481488,0.9783658895190086,0.0,0.5123966942148761,0.66666666666666674,0.75,0.91480784735286214,0.0,0.375,0.52892561983471076,0.625,0.79999999999999993,0.0,1.8343719702816237,2.2102535776209735,2.540036303820981,6.60841654848585,0.0,1.0747402046061609,1.4941751382893083,1.7986522062521288,3.9893499267327033,0.0,0.90025605126853692,1.2424533248940002,1.5171063970610277,2.4741558437621856,0.0,0.60016607315964565,0.8979457248567797,1.0549201679861442,1.6094379124341005
