CitationCount,CitingInstitutions_GiniSim_perc0,CitingInstitutions_GiniSim_perc25,CitingInstitutions_GiniSim_perc50,CitingInstitutions_GiniSim_perc75,CitingInstitutions_GiniSim_perc100,CitingCountries_GiniSim_perc0,CitingCountries_GiniSim_perc25,CitingCountries_GiniSim_perc50,CitingCountries_GiniSim_perc75,CitingCountries_GiniSim_perc100,CitingSubregions_GiniSim_perc0,CitingSubregions_GiniSim_perc25,CitingSubregions_GiniSim_perc50,CitingSubregions_GiniSim_perc75,CitingSubregions_GiniSim_perc100,CitingRegions_GiniSim_perc0,CitingRegions_GiniSim_perc25,CitingRegions_GiniSim_perc50,CitingRegions_GiniSim_perc75,CitingRegions_GiniSim_perc100,CitingInstitutions_Shannon_perc0,CitingInstitutions_Shannon_perc25,CitingInstitutions_Shannon_perc50,CitingInstitutions_Shannon_perc75,CitingInstitutions_Shannon_perc100,CitingCountries_Shannon_perc0,CitingCountries_Shannon_perc25,CitingCountries_Shannon_perc50,CitingCountries_Shannon_perc75,CitingCountries_Shannon_perc100,CitingSubregions_Shannon_perc0,CitingSubregions_Shannon_perc25,CitingSubregions_Shannon_perc50,CitingSubregions_Shannon_perc75,CitingSubregions_Shannon_perc100,CitingRegions_Shannon_perc0,CitingRegions_Shannon_perc25,CitingRegions_Shannon_perc50,CitingRegions_Shannon_perc75,CitingRegions_Shannon_perc100
2,0.0,0.0,0.5,0.66666666666666674,0.99532710280373837,0.0,0.0,0.0,0.5,0.97942386831275718,0.0,0.0,0.0,0.5,0.91871455576559546,0.0,0.0,0.0,0.5,0.79999999999999993,0.0,0.0,0.69314718055994529,1.0986122886681096,5.36597601502186,0.0,0.0,0.0,0.69314718055994529,3.9119676931687288,0.0,0.0,0.0,0.69314718055994529,2.540036303820981,0.0,0.0,0.0,0.69314718055994529,1.6094379124341005
3,0.0,0.5,0.66666666666666674,0.75,0.99865780379822022,0.0,0.0,0.5,0.66666666666666674,0.98199408761085727,0.0,0.0,0.44444444444444442,0.625,0.923076923076923,0.0,0.0,0.375,0.5,0.79999999999999993,0.0,0.69314718055994529,1.0986122886681096,1.3862943611198906,6.6170170540729831,0.0,0.0,0.69314718055994529,1.0986122886681096,4.0568437516158609,0.0,0.0,0.63651416829481278,1.0397207708399179,2.5649493574615376,0.0,0.0,0.56233514461880829,0.69314718055994529,1.6094379124341005
4,0.0,0.56,0.75,0.81632653061224492,0.99880463900097827,0.0,0.375,0.56,0.66666666666666674,0.98362307886117406,0.0,0.31999999999999984,0.5,0.66666666666666674,0.9219562955254943,0.0,0.0,0.44444444444444442,0.5,0.79999999999999993,0.0,0.95027053923323468,1.3862943611198906,1.7478680974667573,6.7757396228167472,0.0,0.56233514461880829,0.95027053923323468,1.2424533248940002,4.1330954818978318,0.0,0.50040242353818787,0.69314718055994529,1.0986122886681096,2.5893664026186656,0.0,0.0,0.63651416829481278,0.69314718055994529,1.6094379124341005
5,0.0,0.66666666666666674,0.79012345679012341,0.85714285714285721,0.996339965299325,0.0,0.44444444444444442,0.625,0.73469387755102045,0.9825315775329212,0.0,0.375,0.56,0.66666666666666674,0.92088042831647832,0.0,0.0,0.44444444444444442,0.5714285714285714,0.79999999999999993,0.0,1.0986122886681096,1.6094379124341005,1.945910149055313,5.6186209417733313,0.0,0.63651416829481278,1.0397207708399179,1.3862943611198906,4.0654215900382304,0.0,0.56233514461880829,0.95027053923323468,1.2424533248940002,2.5505389328360755,0.0,0.0,0.63651416829481278,0.95569989111253428,1.6094379124341005
6,0.0,0.72222222222222221,0.81632653061224492,0.875,0.99865975196663026,0.0,0.5,0.66666666666666674,0.77551020408163263,0.981607457797934,0.0,0.44444444444444442,0.61111111111111116,0.72,0.92063492063492069,0.0,0.31999999999999984,0.48,0.61111111111111116,0.79999999999999993,0.0,1.3862943611198906,1.7917594692280547,2.099292799933921,6.6188727626801773,0.0,0.69314718055994529,1.1537419427010902,1.5498260458782016,4.0878832439236916,0.0,0.63651416829481278,1.0361987848192837,1.3296613488547582,2.5824243173501258,0.0,0.50040242353818787,0.67301166700925652,1.0114042647073518,1.6094379124341005
7,0.0,0.77551020408163263,0.84375,0.890625,0.99593726379440661,0.0,0.5,0.69387755102040816,0.78,0.98059964726631388,0.0,0.44897959183673464,0.625,0.72222222222222221,0.91836734693877553,0.0,0.31999999999999984,0.49382716049382713,0.61111111111111116,0.79999999999999993,0.0,1.5607104090414063,1.945910149055313,2.2718685126965625,5.51292558321236,0.0,0.86756322848146117,1.3030924037617191,1.6094379124341005,4.0028011659076643,0.0,0.68373890584875352,1.0549201679861442,1.3667110520552042,2.540036303820981,0.0,0.50040242353818787,0.69314718055994529,1.0114042647073518,1.6094379124341005
8,0.0,0.79999999999999993,0.86419753086419759,0.90277777777777779,0.99880301558853057,0.0,0.5625,0.72,0.79999999999999993,0.98239720505240524,0.0,0.49382716049382713,0.64462809917355379,0.74,0.91632373113854593,0.0,0.37037037037037035,0.5,0.61224489795918369,0.79999999999999993,0.0,1.6769877743224173,2.0794415416798357,2.3978952727983707,6.7757083821659947,0.0,0.97431475286934943,1.3592367006650066,1.7201934592198249,4.1091615032142839,0.0,0.796311640173813,1.1537419427010902,1.4708084763221114,2.5188788850053618,0.0,0.56233514461880829,0.84868555772641718,1.0397207708399179,1.6094379124341005
9,0.0,0.81632653061224492,0.88,0.915,0.99880122855396891,0.0,0.59375,0.72727272727272729,0.8125,0.98277777777777775,0.0,0.5,0.65999999999999992,0.75,0.921124828532236,0.0,0.375,0.51388888888888884,0.62244897959183676,0.79999999999999993,0.0,1.7986522062521288,2.1972245773362196,2.5070264355574188,6.7744598904424063,0.0,1.0397207708399179,1.4648163848908129,1.7481554572476763,4.1159207176559871,0.0,0.86756322848146117,1.2206072645530175,1.4978661367769954,2.5865370332447744,0.0,0.59826958858525725,0.887694275799104,1.0549201679861442,1.6094379124341005
10,0.0,0.8359375,0.88888888888888884,0.921875,0.99863009982638884,0.0,0.61224489795918369,0.743801652892562,0.81656804733727806,0.981994459833795,0.0,0.53125,0.66666666666666674,0.7578125,0.91836734693877553,0.0,0.39669421487603307,0.53125,0.625,0.79999999999999993,0.0,1.9085352816435597,2.3025850929940455,2.6156305770275505,6.6121833498754663,0.0,1.0986122886681096,1.5171515848932913,1.8343719702816237,4.1232006282326,0.0,0.93688830753901586,1.2730283365896256,1.5403058252265169,2.540036303820981,0.0,0.63651416829481278,0.90025605126853692,1.0608569471580214,1.6094379124341005
11,0.0,0.85207100591715967,0.89999999999999991,0.9285714285714286,0.99879615004062006,0.0,0.625,0.757396449704142,0.826530612244898,0.98715812175276929,0.0,0.54545454545454541,0.68444444444444441,0.76388888888888884,0.91135734072022156,0.0,0.40625,0.54166666666666663,0.628099173553719,0.79999999999999993,0.0,2.0431918705451206,2.3978952727983707,2.7072697097848129,6.7756395768600424,0.0,1.1685184057430877,1.5741001692930792,1.8936621077160922,4.4263252397908817,0.0,0.95961479391204918,1.3038755293363848,1.5691529462031188,2.5521719493063664,0.0,0.639031859650177,0.91646488553947125,1.0775563270668007,1.6094379124341005
